movie_id,director_rating
30357977,8.6
30153316,8.6
26791643,8.6
30365440,8.6
25985175,8.5
4936763,8.5
25810625,8.5
30164730,8.5
26947853,8.5
24744733,8.5
4738750,8.4
26631354,8.4
25774774,8.4
24713611,8.4
26392701,8.4
26874169,8.4
30414332,8.4
4730796,8.3
30408074,8.3
25702660,8.3
26725336,8.3
26710250,8.3
26855006,8.3
20472723,8.3
30404769,8.3
34960927,8.3
19961143,8.2
34445786,8.2
34807129,8.2
30158957,8.2
25729272,8.2
25777557,8.2
7052756,8.1
6537555,8.1
26682281,8.1
10528996,8.1
26383505,8.1
24089020,8.1
10793472,8.1
10831911,8.0
25700671,8.0
30450543,8.0
34929933,8.0
5380183,7.9
3818585,7.9
20438570,7.9
3428545,7.9
26884515,7.9
5397540,7.8
26992395,7.9
5155793,7.8
6957761,7.8
24751801,7.8
26617033,7.8
26694460,7.8
6724715,7.8
26675777,7.8
30207747,7.8
30419995,7.9
30469440,7.8
25830668,7.9
4748002,7.7
6814868,7.7
11625417,7.7
30133318,7.7
26740507,7.7
4723096,7.6
26772052,7.6
4917704,7.6
25886453,7.6
6001047,7.6
26995734,7.6
26872416,7.6
25965348,7.5
26356571,7.5
26891689,7.5
4826778,7.5
25819692,7.5
21662542,7.5
26881594,7.5
26647888,7.5
33451881,7.5
27042532,7.5
3868378,7.5
27026015,7.5
26315708,7.5
5265175,7.5
4935004,7.4
4890186,7.4
27060162,7.4
26949216,7.4
26899674,7.4
5155444,7.4
26208199,7.3
30371557,7.4
34461683,7.4
25849506,7.4
27013586,7.4
30140208,7.4
3927810,7.3
25862325,7.3
25915890,7.3
25938185,7.3
26219274,7.3
26966600,7.3
30394729,7.3
30432285,7.3
27055759,7.3
26959241,7.3
27012857,7.3
10574745,7.4
4903990,7.2
3804707,7.2
25858739,7.2
27054387,7.2
26664918,7.2
26823819,7.2
10744972,7.2
25739991,7.2
27109326,7.2
6724963,7.1
26314206,7.1
26656893,7.1
10439889,7.1
4312827,7.1
24858993,7.1
7065284,7.1
19897669,7.1
25969184,7.1
26012150,7.1
4313192,7.1
26274814,7.1
25902485,7.1
26740509,7.1
26580191,7.1
27592884,7.0
26697964,7.1
25777592,7.1
25749989,7.1
34909293,7.1
4082244,7.1
30307248,7.1
3718210,7.0
6523520,7.0
3087625,7.0
26630566,7.0
4214740,7.0
26264453,7.0
26999518,7.0
35052269,7.0
27166053,7.0
24846487,7.0
6864420,7.0
26581742,7.0
4099123,6.9
21962219,6.9
11516686,6.9
20378834,6.9
33441864,6.9
20505001,6.9
4817416,6.9
26598888,6.9
25785687,6.9
26894599,6.9
5958401,6.9
26473865,6.9
4904679,6.9
25807587,6.9
26587309,6.9
21349049,6.9
3158438,6.8
11533262,6.8
25813315,6.8
5150888,6.8
11636395,6.8
11636427,6.8
5355179,6.8
5355176,6.8
11584383,6.8
25789521,6.8
26043816,6.8
10545997,6.8
30174373,6.8
34878176,6.8
19973386,6.8
4707910,6.8
30334107,6.8
5268673,6.8
30432284,6.8
26421930,6.7
2374470,6.7
6558261,6.7
5355172,6.7
6558265,6.7
30408660,6.7
26334990,6.7
26606686,6.7
27605661,6.7
26635344,6.7
5992535,6.7
26807966,6.7
30446871,6.6
33429426,6.7
26738702,6.7
5915346,6.6
5355173,6.6
25844485,6.6
24843397,6.6
26785168,6.6
21371606,6.6
34816957,6.6
26358553,6.6
26276492,6.6
26968336,6.6
30203868,6.6
7053696,6.6
27043959,6.6
27166160,6.6
